




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5140)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
intracellular iron ion homeostasis (GO:0006879)	77	31	19.23	+	1.61	3.36E-03	4.66E-02
regulation of antigen receptor-mediated signaling pathway (GO:0050854)	82	33	20.48	+	1.61	2.94E-03	4.19E-02
response to ethanol (GO:0045471)	137	55	34.22	+	1.61	9.50E-05	2.56E-03
mitotic sister chromatid segregation (GO:0000070)	147	59	36.71	+	1.61	5.02E-05	1.46E-03
response to corticosteroid (GO:0031960)	160	64	39.96	+	1.60	3.03E-05	9.45E-04
protein secretion (GO:0009306)	130	52	32.47	+	1.60	1.50E-04	3.72E-03
negative regulation of lipid metabolic process (GO:0045833)	110	44	27.47	+	1.60	5.42E-04	1.09E-02
response to ionizing radiation (GO:0010212)	140	56	34.97	+	1.60	1.12E-04	2.93E-03
endoplasmic reticulum organization (GO:0007029)	100	40	24.98	+	1.60	1.04E-03	1.81E-02
hormone secretion (GO:0046879)	90	36	22.48	+	1.60	2.03E-03	3.09E-02
lipid metabolic process (GO:0006629)	1221	488	304.95	+	1.60	1.32E-32	9.57E-30
regulation of fat cell differentiation (GO:0045598)	143	57	35.72	+	1.60	8.96E-05	2.43E-03
establishment of protein localization to extracellular region (GO:0035592)	133	53	33.22	+	1.60	1.71E-04	4.16E-03
positive regulation of lipid biosynthetic process (GO:0046889)	98	39	24.48	+	1.59	1.41E-03	2.28E-02
endothelial cell migration (GO:0043542)	83	33	20.73	+	1.59	3.17E-03	4.45E-02
L-amino acid transport (GO:0015807)	83	33	20.73	+	1.59	3.17E-03	4.45E-02
sister chromatid segregation (GO:0000819)	151	60	37.71	+	1.59	6.32E-05	1.78E-03
positive regulation of lipid metabolic process (GO:0045834)	136	54	33.97	+	1.59	1.42E-04	3.54E-03
detoxification (GO:0098754)	154	61	38.46	+	1.59	7.28E-05	2.02E-03
regulation of mitotic metaphase/anaphase transition (GO:0030071)	101	40	25.23	+	1.59	1.15E-03	1.97E-02
response to oxidative stress (GO:0006979)	397	157	99.15	+	1.58	1.15E-10	1.07E-08
regulation of leukocyte apoptotic process (GO:2000106)	86	34	21.48	+	1.58	2.64E-03	3.88E-02
response to cAMP (GO:0051591)	86	34	21.48	+	1.58	2.64E-03	3.87E-02
organic hydroxy compound transport (GO:0015850)	167	66	41.71	+	1.58	3.15E-05	9.78E-04
regulation of leukocyte cell-cell adhesion (GO:1903037)	395	156	98.65	+	1.58	1.52E-10	1.35E-08
regulation of protein localization to cell periphery (GO:1904375)	157	62	39.21	+	1.58	5.92E-05	1.70E-03
post-Golgi vesicle-mediated transport (GO:0006892)	109	43	27.22	+	1.58	8.08E-04	1.52E-02
carbohydrate homeostasis (GO:0033500)	213	84	53.20	+	1.58	3.16E-06	1.30E-04
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	104	41	25.97	+	1.58	1.31E-03	2.18E-02
dephosphorylation (GO:0016311)	132	52	32.97	+	1.58	2.51E-04	5.67E-03
organic acid transport (GO:0015849)	300	118	74.93	+	1.57	3.85E-08	2.38E-06
carboxylic acid transport (GO:0046942)	300	118	74.93	+	1.57	3.85E-08	2.37E-06
regulation of heart contraction (GO:0008016)	214	84	53.45	+	1.57	3.51E-06	1.42E-04
mitotic nuclear division (GO:0140014)	171	67	42.71	+	1.57	3.89E-05	1.18E-03
glucose homeostasis (GO:0042593)	212	83	52.95	+	1.57	4.63E-06	1.82E-04
cellular response to ketone (GO:1901655)	110	43	27.47	+	1.57	1.22E-03	2.05E-02
inorganic ion import across plasma membrane (GO:0099587)	113	44	28.22	+	1.56	9.99E-04	1.77E-02
inorganic cation import across plasma membrane (GO:0098659)	113	44	28.22	+	1.56	9.99E-04	1.76E-02
alpha-beta T cell differentiation (GO:0046632)	90	35	22.48	+	1.56	3.28E-03	4.57E-02
regulation of nuclear division (GO:0051783)	157	61	39.21	+	1.56	1.28E-04	3.27E-03
carbohydrate derivative metabolic process (GO:1901135)	899	349	224.53	+	1.55	8.92E-21	2.88E-18
regulation of sister chromatid segregation (GO:0033045)	116	45	28.97	+	1.55	1.12E-03	1.93E-02
liposaccharide metabolic process (GO:1903509)	116	45	28.97	+	1.55	1.12E-03	1.93E-02
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	281	109	70.18	+	1.55	3.16E-07	1.58E-05
mitochondrion organization (GO:0007005)	361	140	90.16	+	1.55	5.88E-09	4.36E-07
regulation of actin filament polymerization (GO:0030833)	129	50	32.22	+	1.55	4.90E-04	9.95E-03
carbohydrate derivative biosynthetic process (GO:1901137)	563	218	140.61	+	1.55	3.45E-13	5.01E-11
regulation of lipid metabolic process (GO:0019216)	341	132	85.17	+	1.55	2.10E-08	1.37E-06
modified amino acid metabolic process (GO:0006575)	186	72	46.45	+	1.55	3.75E-05	1.14E-03
response to organophosphorus (GO:0046683)	124	48	30.97	+	1.55	7.80E-04	1.48E-02
positive regulation of T cell proliferation (GO:0042102)	106	41	26.47	+	1.55	2.17E-03	3.26E-02
protein localization to extracellular region (GO:0071692)	140	54	34.97	+	1.54	3.78E-04	8.12E-03
myeloid leukocyte activation (GO:0002274)	164	63	40.96	+	1.54	1.29E-04	3.30E-03
carbohydrate metabolic process (GO:0005975)	435	167	108.64	+	1.54	5.17E-10	4.42E-08
regulation of cytokinesis (GO:0032465)	99	38	24.73	+	1.54	3.35E-03	4.66E-02
cellular response to chemical stress (GO:0062197)	284	109	70.93	+	1.54	5.38E-07	2.56E-05
regulation of T cell proliferation (GO:0042129)	185	71	46.21	+	1.54	5.32E-05	1.54E-03
regulation of lipid transport (GO:0032368)	133	51	33.22	+	1.54	5.95E-04	1.18E-02
lipid transport (GO:0006869)	355	136	88.66	+	1.53	2.07E-08	1.36E-06
glycolipid metabolic process (GO:0006664)	115	44	28.72	+	1.53	1.61E-03	2.56E-02
regulation of protein-containing complex disassembly (GO:0043244)	136	52	33.97	+	1.53	6.56E-04	1.29E-02
organophosphate ester transport (GO:0015748)	178	68	44.46	+	1.53	8.36E-05	2.29E-03
lipid localization (GO:0010876)	356	136	88.91	+	1.53	2.95E-08	1.86E-06
response to starvation (GO:0042594)	231	88	57.69	+	1.53	1.11E-05	3.91E-04
protein localization to plasma membrane (GO:0072659)	197	75	49.20	+	1.52	4.47E-05	1.32E-03
response to alkaloid (GO:0043279)	100	38	24.98	+	1.52	3.66E-03	4.98E-02
organic anion transport (GO:0015711)	408	155	101.90	+	1.52	4.20E-09	3.18E-07
chemical homeostasis (GO:0048878)	955	362	238.52	+	1.52	1.67E-19	4.67E-17
response to metal ion (GO:0010038)	341	129	85.17	+	1.51	1.31E-07	7.03E-06
icosanoid metabolic process (GO:0006690)	119	45	29.72	+	1.51	1.93E-03	2.96E-02
cellular response to reactive oxygen species (GO:0034614)	119	45	29.72	+	1.51	1.93E-03	2.95E-02
response to reactive oxygen species (GO:0000302)	164	62	40.96	+	1.51	2.65E-04	5.94E-03
glycerolipid metabolic process (GO:0046486)	360	136	89.91	+	1.51	7.13E-08	4.14E-06
response to nutrient levels (GO:0031667)	506	191	126.38	+	1.51	1.19E-10	1.10E-08
cellular response to alcohol (GO:0097306)	106	40	26.47	+	1.51	3.34E-03	4.64E-02
phosphorylation (GO:0016310)	361	136	90.16	+	1.51	7.56E-08	4.35E-06
regulation of calcium ion transmembrane transport (GO:1903169)	146	55	36.46	+	1.51	7.14E-04	1.38E-02
regulation of lipid biosynthetic process (GO:0046890)	194	73	48.45	+	1.51	8.29E-05	2.27E-03
mononuclear cell migration (GO:0071674)	117	44	29.22	+	1.51	2.53E-03	3.74E-02
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	117	44	29.22	+	1.51	2.53E-03	3.74E-02
regulation of transmembrane transport (GO:0034762)	415	156	103.65	+	1.51	1.09E-08	7.73E-07
cytoplasmic translation (GO:0002181)	136	51	33.97	+	1.50	1.35E-03	2.20E-02
cellular response to oxidative stress (GO:0034599)	224	84	55.95	+	1.50	3.39E-05	1.05E-03
steroid metabolic process (GO:0008202)	267	100	66.69	+	1.50	6.25E-06	2.33E-04
regulation of blood circulation (GO:1903522)	267	100	66.69	+	1.50	6.25E-06	2.33E-04
positive regulation of T cell activation (GO:0050870)	259	97	64.69	+	1.50	8.96E-06	3.20E-04
monoatomic cation transport (GO:0006812)	834	312	208.30	+	1.50	5.19E-16	1.06E-13
amino acid transport (GO:0006865)	139	52	34.72	+	1.50	1.10E-03	1.90E-02
positive regulation of cell-cell adhesion (GO:0022409)	335	125	83.67	+	1.49	5.69E-07	2.68E-05
regulation of chromosome organization (GO:0033044)	252	94	62.94	+	1.49	1.36E-05	4.66E-04
regulation of T cell activation (GO:0050863)	405	151	101.15	+	1.49	2.96E-08	1.85E-06
response to ketone (GO:1901654)	218	81	54.45	+	1.49	7.42E-05	2.06E-03
regulation of cell-cell adhesion (GO:0022407)	517	192	129.12	+	1.49	5.18E-10	4.38E-08
small GTPase-mediated signal transduction (GO:0007264)	275	102	68.68	+	1.49	8.55E-06	3.10E-04
protein localization to cell periphery (GO:1990778)	240	89	59.94	+	1.48	3.25E-05	1.00E-03
rhythmic process (GO:0048511)	267	99	66.69	+	1.48	1.23E-05	4.25E-04
lysosome organization (GO:0007040)	116	43	28.97	+	1.48	3.57E-03	4.87E-02
lytic vacuole organization (GO:0080171)	116	43	28.97	+	1.48	3.57E-03	4.86E-02
regulation of chromosome segregation (GO:0051983)	143	53	35.72	+	1.48	1.30E-03	2.15E-02
positive regulation of leukocyte activation (GO:0002696)	370	137	92.41	+	1.48	2.17E-07	1.11E-05
response to xenobiotic stimulus (GO:0009410)	400	148	99.90	+	1.48	8.97E-08	5.01E-06
regulation of small GTPase mediated signal transduction (GO:0051056)	322	119	80.42	+	1.48	1.83E-06	7.91E-05
intrinsic apoptotic signaling pathway (GO:0097193)	176	65	43.96	+	1.48	4.30E-04	8.93E-03
regulation of sequestering of calcium ion (GO:0051282)	130	48	32.47	+	1.48	2.24E-03	3.36E-02
positive regulation of lymphocyte proliferation (GO:0050671)	149	55	37.21	+	1.48	1.17E-03	1.99E-02
regulation of actin polymerization or depolymerization (GO:0008064)	149	55	37.21	+	1.48	1.17E-03	1.99E-02
cardiocyte differentiation (GO:0035051)	122	45	30.47	+	1.48	3.22E-03	4.51E-02
regulation of muscle cell differentiation (GO:0051147)	141	52	35.22	+	1.48	1.68E-03	2.62E-02
positive regulation of transmembrane transport (GO:0034764)	179	66	44.71	+	1.48	4.77E-04	9.71E-03
positive regulation of cell activation (GO:0050867)	388	143	96.91	+	1.48	1.59E-07	8.37E-06
cellular homeostasis (GO:0019725)	703	259	175.58	+	1.48	1.28E-12	1.67E-10
regulation of mononuclear cell proliferation (GO:0032944)	247	91	61.69	+	1.48	3.12E-05	9.70E-04
regulation of actin filament length (GO:0030832)	152	56	37.96	+	1.48	1.28E-03	2.13E-02
ossification (GO:0001503)	272	100	67.93	+	1.47	1.50E-05	5.09E-04
response to tumor necrosis factor (GO:0034612)	166	61	41.46	+	1.47	7.98E-04	1.51E-02
phospholipid metabolic process (GO:0006644)	362	133	90.41	+	1.47	5.88E-07	2.75E-05
regulation of lymphocyte proliferation (GO:0050670)	245	90	61.19	+	1.47	4.00E-05	1.21E-03
response to alcohol (GO:0097305)	275	101	68.68	+	1.47	1.65E-05	5.55E-04
intracellular chemical homeostasis (GO:0055082)	591	217	147.61	+	1.47	1.47E-10	1.32E-08
positive regulation of mononuclear cell proliferation (GO:0032946)	150	55	37.46	+	1.47	1.66E-03	2.60E-02
positive regulation of leukocyte migration (GO:0002687)	150	55	37.46	+	1.47	1.66E-03	2.60E-02
actin cytoskeleton organization (GO:0030036)	554	203	138.37	+	1.47	7.23E-10	6.04E-08
myeloid leukocyte differentiation (GO:0002573)	164	60	40.96	+	1.46	1.03E-03	1.79E-02
protein phosphorylation (GO:0006468)	318	116	79.42	+	1.46	4.34E-06	1.71E-04
protein localization to membrane (GO:0072657)	324	118	80.92	+	1.46	3.90E-06	1.56E-04
muscle structure development (GO:0061061)	530	193	132.37	+	1.46	3.02E-09	2.33E-07
inorganic ion homeostasis (GO:0098771)	462	168	115.39	+	1.46	4.47E-08	2.71E-06
cardiac muscle tissue development (GO:0048738)	190	69	47.45	+	1.45	5.15E-04	1.04E-02
cellular response to insulin stimulus (GO:0032869)	157	57	39.21	+	1.45	1.56E-03	2.51E-02
regulation of calcium ion transport (GO:0051924)	226	82	56.45	+	1.45	1.42E-04	3.55E-03
response to wounding (GO:0009611)	458	166	114.39	+	1.45	7.29E-08	4.22E-06
regulation of B cell activation (GO:0050864)	138	50	34.47	+	1.45	3.00E-03	4.27E-02
actin filament-based process (GO:0030029)	627	227	156.60	+	1.45	2.65E-10	2.33E-08
regulation of macroautophagy (GO:0016241)	199	72	49.70	+	1.45	3.86E-04	8.18E-03
positive regulation of cell adhesion (GO:0045785)	492	178	122.88	+	1.45	2.55E-08	1.63E-06
regulation of leukocyte proliferation (GO:0070663)	271	98	67.68	+	1.45	3.81E-05	1.16E-03
regulation of protein localization to membrane (GO:1905475)	177	64	44.21	+	1.45	8.75E-04	1.63E-02
monoatomic cation transmembrane transport (GO:0098655)	708	256	176.83	+	1.45	1.91E-11	2.01E-09
response to temperature stimulus (GO:0009266)	166	60	41.46	+	1.45	1.52E-03	2.44E-02
positive regulation of apoptotic signaling pathway (GO:2001235)	144	52	35.97	+	1.45	2.68E-03	3.91E-02
cellular response to tumor necrosis factor (GO:0071356)	144	52	35.97	+	1.45	2.68E-03	3.91E-02
regulation of peptide transport (GO:0090087)	205	74	51.20	+	1.45	4.51E-04	9.27E-03
apoptotic signaling pathway (GO:0097190)	302	109	75.43	+	1.45	1.62E-05	5.47E-04
regulation of cytokine-mediated signaling pathway (GO:0001959)	183	66	45.71	+	1.44	7.82E-04	1.48E-02
positive regulation of catalytic activity (GO:0043085)	297	107	74.18	+	1.44	1.93E-05	6.33E-04
mitotic cell cycle process (GO:1903047)	508	183	126.88	+	1.44	2.31E-08	1.49E-06
positive regulation of lymphocyte activation (GO:0051251)	336	121	83.92	+	1.44	5.76E-06	2.17E-04
regulation of protein polymerization (GO:0032271)	200	72	49.95	+	1.44	5.26E-04	1.06E-02
regulation of ERK1 and ERK2 cascade (GO:0070372)	289	104	72.18	+	1.44	2.73E-05	8.66E-04
antigen receptor-mediated signaling pathway (GO:0050851)	164	59	40.96	+	1.44	1.95E-03	2.98E-02
regulation of peptide secretion (GO:0002791)	203	73	50.70	+	1.44	4.40E-04	9.09E-03
regulation of insulin secretion (GO:0050796)	167	60	41.71	+	1.44	1.60E-03	2.55E-02
negative regulation of inflammatory response (GO:0050728)	198	71	49.45	+	1.44	6.70E-04	1.31E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	212	76	52.95	+	1.44	4.19E-04	8.71E-03
homeostatic process (GO:0042592)	1566	561	391.12	+	1.43	2.39E-23	1.05E-20
protein processing (GO:0016485)	215	77	53.70	+	1.43	4.56E-04	9.37E-03
regulation of cellular component size (GO:0032535)	355	127	88.66	+	1.43	5.60E-06	2.12E-04
vascular process in circulatory system (GO:0003018)	277	99	69.18	+	1.43	6.22E-05	1.76E-03
cellular response to peptide hormone stimulus (GO:0071375)	277	99	69.18	+	1.43	6.22E-05	1.76E-03
positive regulation of cell projection organization (GO:0031346)	350	125	87.41	+	1.43	6.58E-06	2.45E-04
phospholipid biosynthetic process (GO:0008654)	238	85	59.44	+	1.43	2.09E-04	4.92E-03
positive regulation of cell cycle process (GO:0090068)	269	96	67.18	+	1.43	8.83E-05	2.40E-03
regulation of peptide hormone secretion (GO:0090276)	199	71	49.70	+	1.43	7.08E-04	1.37E-02
nucleobase-containing compound catabolic process (GO:0034655)	384	137	95.91	+	1.43	2.34E-06	9.88E-05
glycerolipid biosynthetic process (GO:0045017)	216	77	53.95	+	1.43	4.74E-04	9.69E-03
secretion by cell (GO:0032940)	435	155	108.64	+	1.43	5.57E-07	2.64E-05
negative regulation of neuron apoptotic process (GO:0043524)	174	62	43.46	+	1.43	1.96E-03	3.00E-02
regulation of monoatomic cation transmembrane transport (GO:1904062)	261	93	65.19	+	1.43	1.25E-04	3.22E-03
regulation of cold-induced thermogenesis (GO:0120161)	152	54	37.96	+	1.42	3.47E-03	4.79E-02
regulation of anatomical structure size (GO:0090066)	504	179	125.88	+	1.42	9.35E-08	5.17E-06
regulation of hormone levels (GO:0010817)	567	201	141.61	+	1.42	1.75E-08	1.17E-06
regulation of metal ion transport (GO:0010959)	347	123	86.67	+	1.42	1.11E-05	3.91E-04
positive regulation of proteolysis (GO:0045862)	206	73	51.45	+	1.42	8.55E-04	1.59E-02
homeostasis of number of cells (GO:0048872)	333	118	83.17	+	1.42	1.76E-05	5.89E-04
export from cell (GO:0140352)	511	181	127.63	+	1.42	1.11E-07	6.04E-06
cellular response to starvation (GO:0009267)	192	68	47.95	+	1.42	1.37E-03	2.23E-02
positive regulation of organelle organization (GO:0010638)	503	178	125.63	+	1.42	1.58E-07	8.34E-06
circulatory system process (GO:0003013)	520	184	129.87	+	1.42	8.30E-08	4.71E-06
mitotic cell cycle (GO:0000278)	585	207	146.11	+	1.42	1.23E-08	8.49E-07
calcium ion homeostasis (GO:0055074)	232	82	57.94	+	1.42	4.22E-04	8.76E-03
positive regulation of leukocyte proliferation (GO:0070665)	167	59	41.71	+	1.41	2.92E-03	4.17E-02
regulation of T cell differentiation (GO:0045580)	204	72	50.95	+	1.41	1.08E-03	1.87E-02
actin filament organization (GO:0007015)	289	102	72.18	+	1.41	8.83E-05	2.40E-03
negative regulation of cell adhesion (GO:0007162)	309	109	77.17	+	1.41	4.94E-05	1.45E-03
regulation of leukocyte activation (GO:0002694)	604	213	150.85	+	1.41	1.15E-08	8.04E-07
transport along microtubule (GO:0010970)	190	67	47.45	+	1.41	1.74E-03	2.70E-02
regulation of monoatomic ion transmembrane transport (GO:0034765)	278	98	69.43	+	1.41	1.17E-04	3.08E-03
regulation of lymphocyte activation (GO:0051249)	534	188	133.37	+	1.41	9.19E-08	5.10E-06
T cell activation (GO:0042110)	344	121	85.92	+	1.41	2.34E-05	7.58E-04
regulation of cell adhesion (GO:0030155)	805	283	201.05	+	1.41	5.58E-11	5.40E-09
multicellular organismal-level homeostasis (GO:0048871)	706	248	176.33	+	1.41	1.11E-09	9.23E-08
monoatomic cation homeostasis (GO:0055080)	530	186	132.37	+	1.41	1.44E-07	7.71E-06
protein folding (GO:0006457)	228	80	56.94	+	1.40	6.70E-04	1.32E-02
glycerophospholipid metabolic process (GO:0006650)	285	100	71.18	+	1.40	1.40E-04	3.51E-03
response to peptide hormone (GO:0043434)	402	141	100.40	+	1.40	5.15E-06	1.99E-04
monoatomic ion transport (GO:0006811)	1018	357	254.25	+	1.40	1.94E-13	2.93E-11
regulation of cell projection assembly (GO:0060491)	214	75	53.45	+	1.40	1.07E-03	1.86E-02
lymphocyte differentiation (GO:0030098)	297	104	74.18	+	1.40	1.10E-04	2.89E-03
regulation of hormone secretion (GO:0046883)	260	91	64.94	+	1.40	2.94E-04	6.47E-03
response to insulin (GO:0032868)	226	79	56.45	+	1.40	8.41E-04	1.57E-02
organelle localization (GO:0051640)	558	195	139.36	+	1.40	9.93E-08	5.47E-06
response to abiotic stimulus (GO:0009628)	1122	392	280.23	+	1.40	1.85E-14	3.28E-12
monoatomic ion homeostasis (GO:0050801)	541	189	135.12	+	1.40	1.89E-07	9.91E-06
catabolic process (GO:0009056)	2121	740	529.73	+	1.40	4.34E-27	2.25E-24
striated muscle tissue development (GO:0014706)	327	114	81.67	+	1.40	6.06E-05	1.73E-03
supramolecular fiber organization (GO:0097435)	574	200	143.36	+	1.40	8.66E-08	4.90E-06
muscle tissue development (GO:0060537)	348	121	86.92	+	1.39	4.52E-05	1.33E-03
response to steroid hormone (GO:0048545)	279	97	69.68	+	1.39	2.74E-04	6.13E-03
positive regulation of cell migration (GO:0030335)	551	191	137.62	+	1.39	2.52E-07	1.28E-05
bone development (GO:0060348)	205	71	51.20	+	1.39	1.98E-03	3.02E-02
leukocyte differentiation (GO:0002521)	442	153	110.39	+	1.39	4.80E-06	1.87E-04
regulation of lymphocyte differentiation (GO:0045619)	237	82	59.19	+	1.39	8.63E-04	1.61E-02
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	211	73	52.70	+	1.39	1.75E-03	2.72E-02
signal release (GO:0023061)	185	64	46.21	+	1.39	3.57E-03	4.86E-02
regulation of leukocyte migration (GO:0002685)	223	77	55.70	+	1.38	1.37E-03	2.23E-02
regulation of cellular localization (GO:0060341)	548	189	136.87	+	1.38	5.06E-07	2.42E-05
localization within membrane (GO:0051668)	580	200	144.86	+	1.38	2.22E-07	1.14E-05
regulation of system process (GO:0044057)	580	200	144.86	+	1.38	2.22E-07	1.13E-05
positive regulation of protein catabolic process (GO:0045732)	212	73	52.95	+	1.38	2.33E-03	3.47E-02
negative regulation of organelle organization (GO:0010639)	334	115	83.42	+	1.38	9.62E-05	2.59E-03
establishment of organelle localization (GO:0051656)	349	120	87.17	+	1.38	7.95E-05	2.19E-03
hormone metabolic process (GO:0042445)	224	77	55.95	+	1.38	1.82E-03	2.81E-02
apoptotic process (GO:0006915)	963	331	240.52	+	1.38	2.68E-11	2.70E-09
positive regulation of leukocyte differentiation (GO:1902107)	198	68	49.45	+	1.38	2.92E-03	4.18E-02
positive regulation of hemopoiesis (GO:1903708)	198	68	49.45	+	1.38	2.92E-03	4.17E-02
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	204	70	50.95	+	1.37	2.59E-03	3.81E-02
protein maturation (GO:0051604)	580	199	144.86	+	1.37	3.74E-07	1.83E-05
intracellular monoatomic ion homeostasis (GO:0006873)	458	157	114.39	+	1.37	6.99E-06	2.57E-04
positive regulation of cellular component biogenesis (GO:0044089)	514	176	128.38	+	1.37	1.91E-06	8.15E-05
regulation of monoatomic ion transport (GO:0043269)	406	139	101.40	+	1.37	2.83E-05	8.87E-04
activation of immune response (GO:0002253)	409	140	102.15	+	1.37	2.37E-05	7.67E-04
cell division (GO:0051301)	523	179	130.62	+	1.37	1.77E-06	7.68E-05
metal ion transport (GO:0030001)	655	224	163.59	+	1.37	9.10E-08	5.07E-06
response to lipopolysaccharide (GO:0032496)	310	106	77.42	+	1.37	2.63E-04	5.90E-03
regulation of organelle assembly (GO:1902115)	237	81	59.19	+	1.37	1.47E-03	2.37E-02
secretion (GO:0046903)	554	189	138.37	+	1.37	1.26E-06	5.56E-05
mononuclear cell differentiation (GO:1903131)	384	131	95.91	+	1.37	4.97E-05	1.45E-03
negative regulation of cell-cell adhesion (GO:0022408)	214	73	53.45	+	1.37	2.51E-03	3.72E-02
regulation of cell activation (GO:0050865)	663	226	165.59	+	1.36	1.08E-07	5.90E-06
regulation of canonical NF-kappaB signal transduction (GO:0043122)	314	107	78.42	+	1.36	2.87E-04	6.36E-03
intracellular monoatomic cation homeostasis (GO:0030003)	449	153	112.14	+	1.36	1.25E-05	4.33E-04
positive regulation of cell cycle (GO:0045787)	338	115	84.42	+	1.36	1.76E-04	4.25E-03
regulation of phosphorus metabolic process (GO:0051174)	585	199	146.11	+	1.36	7.03E-07	3.22E-05
regulation of inflammatory response (GO:0050727)	441	150	110.14	+	1.36	1.74E-05	5.85E-04
chromosome segregation (GO:0007059)	347	118	86.67	+	1.36	1.65E-04	4.03E-03
positive regulation of cell motility (GO:2000147)	577	196	144.11	+	1.36	9.77E-07	4.44E-05
blood circulation (GO:0008015)	430	146	107.40	+	1.36	2.88E-05	9.01E-04
response to molecule of bacterial origin (GO:0002237)	330	112	82.42	+	1.36	2.45E-04	5.57E-03
programmed cell death (GO:0012501)	1011	343	252.50	+	1.36	7.57E-11	7.19E-09
positive regulation of transport (GO:0051050)	849	288	212.04	+	1.36	2.93E-09	2.27E-07
leukocyte activation (GO:0045321)	634	215	158.35	+	1.36	3.40E-07	1.69E-05
transmembrane transport (GO:0055085)	1316	446	328.68	+	1.36	8.13E-14	1.28E-11
exocytosis (GO:0006887)	242	82	60.44	+	1.36	2.11E-03	3.20E-02
regulation of MAPK cascade (GO:0043408)	667	226	166.59	+	1.36	1.95E-07	1.02E-05
leukocyte migration (GO:0050900)	245	83	61.19	+	1.36	1.75E-03	2.72E-02
cell death (GO:0008219)	1016	344	253.75	+	1.36	8.44E-11	7.91E-09
myeloid cell differentiation (GO:0030099)	319	108	79.67	+	1.36	3.27E-04	7.16E-03
positive regulation of locomotion (GO:0040017)	594	201	148.36	+	1.35	1.08E-06	4.86E-05
monoatomic ion transmembrane transport (GO:0034220)	860	291	214.79	+	1.35	2.89E-09	2.25E-07
immune response-activating signaling pathway (GO:0002757)	346	117	86.42	+	1.35	2.09E-04	4.91E-03
intracellular signaling cassette (GO:0141124)	789	266	197.06	+	1.35	2.17E-08	1.41E-06
negative regulation of intracellular signal transduction (GO:1902532)	745	251	186.07	+	1.35	6.33E-08	3.73E-06
positive regulation of cellular component organization (GO:0051130)	1125	379	280.98	+	1.35	1.81E-11	1.94E-09
regulation of localization (GO:0032879)	2024	681	505.51	+	1.35	3.52E-20	1.04E-17
regulation of cell morphogenesis (GO:0022604)	244	82	60.94	+	1.35	2.25E-03	3.37E-02
regulation of transport (GO:0051049)	1607	540	401.36	+	1.35	6.88E-16	1.39E-13
positive regulation of protein modification process (GO:0031401)	372	125	92.91	+	1.35	1.71E-04	4.16E-03
connective tissue development (GO:0061448)	250	84	62.44	+	1.35	1.99E-03	3.04E-02
regulation of protein phosphorylation (GO:0001932)	393	132	98.15	+	1.34	1.24E-04	3.21E-03
cellular response to growth factor stimulus (GO:0071363)	453	152	113.14	+	1.34	3.63E-05	1.11E-03
cellular response to nitrogen compound (GO:1901699)	608	204	151.85	+	1.34	1.46E-06	6.40E-05
cell activation (GO:0001775)	766	257	191.31	+	1.34	5.97E-08	3.54E-06
glycoprotein metabolic process (GO:0009100)	334	112	83.42	+	1.34	4.36E-04	9.03E-03
import into cell (GO:0098657)	716	240	178.83	+	1.34	1.96E-07	1.02E-05
regulation of protein modification by small protein conjugation or removal (GO:1903320)	236	79	58.94	+	1.34	3.13E-03	4.41E-02
regulation of post-translational protein modification (GO:1901873)	242	81	60.44	+	1.34	2.76E-03	3.98E-02
calcium ion transport (GO:0006816)	269	90	67.18	+	1.34	1.75E-03	2.72E-02
regulation of intracellular transport (GO:0032386)	281	94	70.18	+	1.34	1.37E-03	2.23E-02
regulation of autophagy (GO:0010506)	374	125	93.41	+	1.34	2.25E-04	5.17E-03
regulation of organelle organization (GO:0033043)	1191	398	297.46	+	1.34	1.89E-11	2.01E-09
regulation of proteolysis (GO:0030162)	419	140	104.65	+	1.34	9.99E-05	2.66E-03
positive regulation of cell differentiation (GO:0045597)	857	286	214.04	+	1.34	1.89E-08	1.25E-06
angiogenesis (GO:0001525)	351	117	87.66	+	1.33	3.82E-04	8.14E-03
wound healing (GO:0042060)	339	113	84.67	+	1.33	4.88E-04	9.92E-03
intracellular signal transduction (GO:0035556)	1741	580	434.83	+	1.33	3.38E-16	7.13E-14
response to oxygen-containing compound (GO:1901700)	1548	515	386.62	+	1.33	3.01E-14	5.08E-12
cell cycle process (GO:0022402)	908	302	226.78	+	1.33	1.16E-08	8.08E-07
response to endogenous stimulus (GO:0009719)	1206	401	301.21	+	1.33	3.16E-11	3.17E-09
