




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5121)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of chemotaxis (GO:0050922)	44	21	10.95	+	1.92	1.25E-03	1.56E-02
positive regulation of organ growth (GO:0046622)	44	21	10.95	+	1.92	1.25E-03	1.56E-02
regulation of trans-synaptic signaling (GO:0099177)	524	250	130.39	+	1.92	2.49E-30	7.55E-28
nephron epithelium development (GO:0072009)	109	52	27.12	+	1.92	2.87E-07	1.07E-05
digestive system development (GO:0055123)	149	71	37.08	+	1.91	1.61E-09	8.95E-08
ovulation cycle (GO:0042698)	63	30	15.68	+	1.91	1.01E-04	1.88E-03
metanephros development (GO:0001656)	84	40	20.90	+	1.91	6.17E-06	1.66E-04
renal absorption (GO:0070293)	42	20	10.45	+	1.91	1.82E-03	2.12E-02
regulation of keratinocyte proliferation (GO:0010837)	42	20	10.45	+	1.91	1.82E-03	2.12E-02
nephron development (GO:0072006)	141	67	35.09	+	1.91	6.10E-09	3.15E-07
positive regulation of smoothened signaling pathway (GO:0045880)	40	19	9.95	+	1.91	2.65E-03	2.87E-02
proteoglycan biosynthetic process (GO:0030166)	78	37	19.41	+	1.91	1.70E-05	4.05E-04
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	272	129	67.68	+	1.91	5.70E-16	6.73E-14
cell-cell signaling (GO:0007267)	859	407	213.75	+	1.90	4.79E-48	6.33E-45
cochlea development (GO:0090102)	57	27	14.18	+	1.90	2.94E-04	4.77E-03
positive regulation of calcium ion transmembrane transport (GO:1904427)	57	27	14.18	+	1.90	2.94E-04	4.77E-03
fluid transport (GO:0042044)	38	18	9.46	+	1.90	3.89E-03	3.82E-02
cardiac muscle cell differentiation (GO:0055007)	93	44	23.14	+	1.90	2.90E-06	8.43E-05
positive regulation of ossification (GO:0045778)	55	26	13.69	+	1.90	4.25E-04	6.42E-03
ureteric bud morphogenesis (GO:0060675)	55	26	13.69	+	1.90	4.25E-04	6.41E-03
mesonephros development (GO:0001823)	91	43	22.64	+	1.90	4.08E-06	1.15E-04
negative regulation of chromosome segregation (GO:0051985)	36	17	8.96	+	1.90	3.43E-03	3.50E-02
embryonic eye morphogenesis (GO:0048048)	36	17	8.96	+	1.90	3.43E-03	3.50E-02
regulation of T-helper 1 type immune response (GO:0002825)	36	17	8.96	+	1.90	3.43E-03	3.50E-02
negative regulation of smoothened signaling pathway (GO:0045879)	36	17	8.96	+	1.90	3.43E-03	3.50E-02
mesonephric tubule development (GO:0072164)	87	41	21.65	+	1.89	8.21E-06	2.10E-04
mesonephric epithelium development (GO:0072163)	87	41	21.65	+	1.89	8.21E-06	2.10E-04
synapse organization (GO:0050808)	382	180	95.05	+	1.89	2.36E-21	4.04E-19
axon development (GO:0061564)	427	201	106.25	+	1.89	1.18E-23	2.39E-21
sperm axoneme assembly (GO:0007288)	34	16	8.46	+	1.89	4.84E-03	4.44E-02
synaptic transmission, GABAergic (GO:0051932)	34	16	8.46	+	1.89	4.84E-03	4.44E-02
regulation of fibroblast growth factor receptor signaling pathway (GO:0040036)	34	16	8.46	+	1.89	4.84E-03	4.43E-02
actomyosin structure organization (GO:0031032)	119	56	29.61	+	1.89	1.70E-07	6.53E-06
axonogenesis (GO:0007409)	368	173	91.57	+	1.89	2.68E-20	4.37E-18
positive regulation of calcium ion transport (GO:0051928)	98	46	24.39	+	1.89	2.84E-06	8.29E-05
smoothened signaling pathway (GO:0007224)	81	38	20.16	+	1.89	2.42E-05	5.55E-04
metal ion transport (GO:0030001)	655	307	162.99	+	1.88	3.39E-35	1.76E-32
regulation of acute inflammatory response (GO:0002673)	47	22	11.70	+	1.88	1.09E-03	1.40E-02
negative regulation of interleukin-6 production (GO:0032715)	47	22	11.70	+	1.88	1.09E-03	1.40E-02
embryonic skeletal system morphogenesis (GO:0048704)	94	44	23.39	+	1.88	3.72E-06	1.05E-04
kidney epithelium development (GO:0072073)	139	65	34.59	+	1.88	2.91E-08	1.31E-06
cell-cell adhesion (GO:0098609)	556	260	138.35	+	1.88	1.15E-29	3.33E-27
chemical synaptic transmission, postsynaptic (GO:0099565)	77	36	19.16	+	1.88	3.02E-05	6.72E-04
positive regulation of axonogenesis (GO:0050772)	77	36	19.16	+	1.88	3.02E-05	6.71E-04
regulation of calcium ion import (GO:0090279)	45	21	11.20	+	1.88	1.54E-03	1.85E-02
multicellular organismal-level water homeostasis (GO:0050891)	45	21	11.20	+	1.88	1.54E-03	1.85E-02
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	45	21	11.20	+	1.88	1.54E-03	1.84E-02
amino acid import across plasma membrane (GO:0089718)	45	21	11.20	+	1.88	1.54E-03	1.84E-02
ceramide biosynthetic process (GO:0046513)	58	27	14.43	+	1.87	3.55E-04	5.56E-03
hormone transport (GO:0009914)	101	47	25.13	+	1.87	2.39E-06	7.12E-05
ureteric bud development (GO:0001657)	86	40	21.40	+	1.87	1.40E-05	3.42E-04
regulation of axonogenesis (GO:0050770)	142	66	35.33	+	1.87	2.41E-08	1.11E-06
sensory perception of pain (GO:0019233)	69	32	17.17	+	1.86	1.17E-04	2.17E-03
excitatory postsynaptic potential (GO:0060079)	69	32	17.17	+	1.86	1.17E-04	2.16E-03
regulated exocytosis (GO:0045055)	136	63	33.84	+	1.86	6.72E-08	2.79E-06
regulation of morphogenesis of a branching structure (GO:0060688)	54	25	13.44	+	1.86	7.13E-04	1.01E-02
multicellular organismal response to stress (GO:0033555)	93	43	23.14	+	1.86	9.48E-06	2.40E-04
memory (GO:0007613)	132	61	32.85	+	1.86	1.36E-07	5.33E-06
regulation of granulocyte chemotaxis (GO:0071622)	52	24	12.94	+	1.85	1.02E-03	1.32E-02
temperature homeostasis (GO:0001659)	39	18	9.70	+	1.85	4.47E-03	4.21E-02
negative regulation of axonogenesis (GO:0050771)	52	24	12.94	+	1.85	1.02E-03	1.32E-02
embryonic camera-type eye development (GO:0031076)	39	18	9.70	+	1.85	4.47E-03	4.21E-02
negative regulation of insulin secretion (GO:0046676)	39	18	9.70	+	1.85	4.47E-03	4.21E-02
receptor localization to synapse (GO:0097120)	52	24	12.94	+	1.85	1.02E-03	1.32E-02
regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	65	30	16.17	+	1.85	2.37E-04	4.01E-03
endocardial cushion development (GO:0003197)	52	24	12.94	+	1.85	1.02E-03	1.32E-02
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	178	82	44.29	+	1.85	8.18E-10	4.70E-08
oligodendrocyte differentiation (GO:0048709)	74	34	18.41	+	1.85	1.15E-04	2.13E-03
negative regulation of nuclear division (GO:0051784)	48	22	11.94	+	1.84	2.10E-03	2.38E-02
cell differentiation involved in kidney development (GO:0061005)	48	22	11.94	+	1.84	2.10E-03	2.37E-02
regulation of behavior (GO:0050795)	83	38	20.65	+	1.84	3.41E-05	7.42E-04
regulation of mitotic sister chromatid separation (GO:0010965)	70	32	17.42	+	1.84	1.45E-04	2.61E-03
superoxide metabolic process (GO:0006801)	46	21	11.45	+	1.83	3.03E-03	3.18E-02
neuron maturation (GO:0042551)	46	21	11.45	+	1.83	3.03E-03	3.18E-02
insulin secretion (GO:0030073)	46	21	11.45	+	1.83	3.03E-03	3.17E-02
neuron projection morphogenesis (GO:0048812)	494	225	122.92	+	1.83	7.80E-24	1.64E-21
regulation of neutrophil migration (GO:1902622)	44	20	10.95	+	1.83	2.76E-03	2.96E-02
heterophilic cell-cell adhesion (GO:0007157)	55	25	13.69	+	1.83	8.74E-04	1.20E-02
glycosphingolipid biosynthetic process (GO:0006688)	44	20	10.95	+	1.83	2.76E-03	2.96E-02
positive regulation of bone mineralization (GO:0030501)	44	20	10.95	+	1.83	2.76E-03	2.95E-02
regulation of mitotic sister chromatid segregation (GO:0033047)	66	30	16.42	+	1.83	2.83E-04	4.63E-03
regulation of regulated secretory pathway (GO:1903305)	130	59	32.35	+	1.82	3.67E-07	1.32E-05
regulation of system process (GO:0044057)	580	263	144.32	+	1.82	2.05E-27	5.43E-25
muscle tissue morphogenesis (GO:0060415)	75	34	18.66	+	1.82	1.31E-04	2.38E-03
transmission of nerve impulse (GO:0019226)	64	29	15.93	+	1.82	3.97E-04	6.06E-03
striated muscle cell differentiation (GO:0051146)	223	101	55.49	+	1.82	2.70E-11	1.92E-09
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	148	67	36.83	+	1.82	8.34E-08	3.40E-06
cell projection morphogenesis (GO:0048858)	506	229	125.91	+	1.82	9.29E-24	1.93E-21
calcium ion transmembrane transport (GO:0070588)	217	98	54.00	+	1.81	7.05E-11	4.81E-09
sperm flagellum assembly (GO:0120316)	62	28	15.43	+	1.81	5.59E-04	8.17E-03
cellular anatomical entity morphogenesis (GO:0032989)	133	60	33.09	+	1.81	4.82E-07	1.69E-05
cellular component assembly involved in morphogenesis (GO:0010927)	133	60	33.09	+	1.81	4.82E-07	1.68E-05
cellular response to acetylcholine (GO:1905145)	51	23	12.69	+	1.81	1.72E-03	2.02E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	499	225	124.17	+	1.81	4.17E-23	8.19E-21
cell morphogenesis involved in neuron differentiation (GO:0048667)	448	202	111.48	+	1.81	7.75E-21	1.29E-18
regulation of membrane potential (GO:0042391)	466	210	115.96	+	1.81	1.09E-21	1.90E-19
cardiac chamber morphogenesis (GO:0003206)	131	59	32.60	+	1.81	6.83E-07	2.30E-05
regulation of interleukin-17 production (GO:0032660)	40	18	9.95	+	1.81	5.43E-03	4.88E-02
regulation of synapse structure or activity (GO:0050803)	327	147	81.37	+	1.81	1.84E-15	2.07E-13
motile cilium assembly (GO:0044458)	89	40	22.15	+	1.81	3.72E-05	7.98E-04
acetylcholine receptor signaling pathway (GO:0095500)	49	22	12.19	+	1.80	2.43E-03	2.67E-02
peptide transport (GO:0015833)	98	44	24.39	+	1.80	1.72E-05	4.10E-04
regulation of synapse organization (GO:0050807)	321	144	79.88	+	1.80	4.85E-15	5.22E-13
actin filament-based movement (GO:0030048)	107	48	26.63	+	1.80	8.15E-06	2.10E-04
regulation of myeloid leukocyte mediated immunity (GO:0002886)	58	26	14.43	+	1.80	1.12E-03	1.43E-02
endocrine system development (GO:0035270)	125	56	31.10	+	1.80	1.19E-06	3.80E-05
negative regulation of wound healing (GO:0061045)	67	30	16.67	+	1.80	5.32E-04	7.80E-03
cardiac muscle tissue development (GO:0048738)	190	85	47.28	+	1.80	2.96E-09	1.61E-07
regulation of chromosome separation (GO:1905818)	85	38	21.15	+	1.80	7.21E-05	1.41E-03
regulation of synaptic plasticity (GO:0048167)	217	97	54.00	+	1.80	2.02E-10	1.28E-08
negative regulation of hemostasis (GO:1900047)	47	21	11.70	+	1.80	3.44E-03	3.50E-02
regulation of humoral immune response (GO:0002920)	47	21	11.70	+	1.80	3.44E-03	3.50E-02
positive regulation of mitotic nuclear division (GO:0045840)	47	21	11.70	+	1.80	3.44E-03	3.50E-02
regulation of mitotic nuclear division (GO:0007088)	128	57	31.85	+	1.79	1.51E-06	4.72E-05
embryonic skeletal system development (GO:0048706)	137	61	34.09	+	1.79	4.86E-07	1.69E-05
neural crest cell development (GO:0014032)	81	36	20.16	+	1.79	1.41E-04	2.55E-03
ear morphogenesis (GO:0042471)	135	60	33.59	+	1.79	6.67E-07	2.25E-05
icosanoid transport (GO:0071715)	45	20	11.20	+	1.79	4.89E-03	4.47E-02
branching involved in ureteric bud morphogenesis (GO:0001658)	45	20	11.20	+	1.79	4.89E-03	4.47E-02
positive regulation of interleukin-10 production (GO:0032733)	45	20	11.20	+	1.79	4.89E-03	4.46E-02
negative regulation of muscle cell apoptotic process (GO:0010656)	45	20	11.20	+	1.79	4.89E-03	4.46E-02
regulation of systemic arterial blood pressure (GO:0003073)	108	48	26.87	+	1.79	9.48E-06	2.40E-04
regulation of muscle system process (GO:0090257)	250	111	62.21	+	1.78	1.50E-11	1.11E-09
myeloid cell activation involved in immune response (GO:0002275)	70	31	17.42	+	1.78	4.27E-04	6.43E-03
positive regulation of cell junction assembly (GO:1901890)	113	50	28.12	+	1.78	8.68E-06	2.22E-04
urogenital system development (GO:0001655)	59	26	14.68	+	1.77	1.31E-03	1.60E-02
peripheral nervous system development (GO:0007422)	84	37	20.90	+	1.77	1.21E-04	2.20E-03
regulation of cardiac muscle contraction (GO:0055117)	84	37	20.90	+	1.77	1.21E-04	2.20E-03
peptidyl-tyrosine phosphorylation (GO:0018108)	50	22	12.44	+	1.77	2.95E-03	3.13E-02
sodium ion homeostasis (GO:0055078)	50	22	12.44	+	1.77	2.95E-03	3.12E-02
digestion (GO:0007586)	116	51	28.86	+	1.77	7.21E-06	1.89E-04
cellular response to retinoic acid (GO:0071300)	66	29	16.42	+	1.77	8.39E-04	1.16E-02
amine metabolic process (GO:0009308)	82	36	20.40	+	1.76	1.66E-04	2.92E-03
learning (GO:0007612)	164	72	40.81	+	1.76	9.42E-08	3.80E-06
vitamin transport (GO:0051180)	57	25	14.18	+	1.76	1.83E-03	2.11E-02
nerve development (GO:0021675)	96	42	23.89	+	1.76	7.03E-05	1.38E-03
positive regulation of nervous system development (GO:0051962)	273	119	67.93	+	1.75	1.56E-11	1.15E-09
cartilage development (GO:0051216)	179	78	44.54	+	1.75	4.46E-08	1.93E-06
positive regulation of epithelial cell differentiation (GO:0030858)	62	27	15.43	+	1.75	1.67E-03	1.97E-02
lymphocyte migration (GO:0072676)	62	27	15.43	+	1.75	1.67E-03	1.96E-02
calcium ion transport (GO:0006816)	269	117	66.94	+	1.75	2.01E-11	1.44E-09
roof of mouth development (GO:0060021)	92	40	22.89	+	1.75	9.08E-05	1.73E-03
cardiocyte differentiation (GO:0035051)	122	53	30.36	+	1.75	7.46E-06	1.95E-04
regulation of calcium-mediated signaling (GO:0050848)	99	43	24.63	+	1.75	5.70E-05	1.15E-03
cell junction organization (GO:0034330)	571	248	142.08	+	1.75	1.24E-22	2.35E-20
aminoglycan metabolic process (GO:0006022)	76	33	18.91	+	1.74	4.44E-04	6.67E-03
muscle organ morphogenesis (GO:0048644)	83	36	20.65	+	1.74	2.90E-04	4.74E-03
regulation of epidermal cell differentiation (GO:0045604)	60	26	14.93	+	1.74	2.35E-03	2.60E-02
protein O-linked glycosylation (GO:0006493)	150	65	37.33	+	1.74	8.79E-07	2.86E-05
regulation of protein depolymerization (GO:1901879)	97	42	24.14	+	1.74	7.88E-05	1.53E-03
alpha-amino acid catabolic process (GO:1901606)	97	42	24.14	+	1.74	7.88E-05	1.53E-03
regulation of monoatomic cation transmembrane transport (GO:1904062)	261	113	64.95	+	1.74	7.05E-11	4.79E-09
regulation of plasma lipoprotein particle levels (GO:0097006)	67	29	16.67	+	1.74	9.77E-04	1.28E-02
columnar/cuboidal epithelial cell differentiation (GO:0002065)	74	32	18.41	+	1.74	6.19E-04	8.96E-03
proteoglycan metabolic process (GO:0006029)	111	48	27.62	+	1.74	2.24E-05	5.18E-04
monocarboxylic acid transport (GO:0015718)	148	64	36.83	+	1.74	1.22E-06	3.88E-05
kidney development (GO:0001822)	303	131	75.40	+	1.74	2.38E-12	1.90E-10
odontogenesis (GO:0042476)	118	51	29.36	+	1.74	1.42E-05	3.44E-04
vascular transport (GO:0010232)	88	38	21.90	+	1.74	1.72E-04	3.01E-03
transport across blood-brain barrier (GO:0150104)	88	38	21.90	+	1.74	1.72E-04	3.00E-03
regulation of neuron differentiation (GO:0045664)	183	79	45.54	+	1.73	6.27E-08	2.63E-06
muscle contraction (GO:0006936)	285	123	70.92	+	1.73	1.64E-11	1.18E-09
regulation of systemic arterial blood pressure mediated by a chemical signal (GO:0003044)	51	22	12.69	+	1.73	5.07E-03	4.61E-02
regulation of synaptic vesicle exocytosis (GO:2000300)	51	22	12.69	+	1.73	5.07E-03	4.61E-02
mitotic spindle assembly (GO:0090307)	51	22	12.69	+	1.73	5.07E-03	4.61E-02
ephrin receptor signaling pathway (GO:0048013)	51	22	12.69	+	1.73	5.07E-03	4.60E-02
renal system development (GO:0072001)	313	135	77.88	+	1.73	1.29E-12	1.06E-10
detection of mechanical stimulus (GO:0050982)	58	25	14.43	+	1.73	2.20E-03	2.46E-02
regulation of vasoconstriction (GO:0019229)	65	28	16.17	+	1.73	1.35E-03	1.65E-02
negative regulation of protein depolymerization (GO:1901880)	72	31	17.92	+	1.73	8.64E-04	1.19E-02
cellular response to BMP stimulus (GO:0071773)	86	37	21.40	+	1.73	2.37E-04	4.02E-03
response to BMP (GO:0071772)	86	37	21.40	+	1.73	2.37E-04	4.01E-03
cell adhesion (GO:0007155)	965	415	240.12	+	1.73	2.09E-36	1.22E-33
mitotic spindle organization (GO:0007052)	100	43	24.88	+	1.73	6.77E-05	1.33E-03
sphingolipid biosynthetic process (GO:0030148)	107	46	26.63	+	1.73	4.22E-05	8.87E-04
cardiac ventricle development (GO:0003231)	133	57	33.09	+	1.72	6.80E-06	1.80E-04
positive regulation of nuclear division (GO:0051785)	63	27	15.68	+	1.72	1.88E-03	2.16E-02
postsynaptic signal transduction (GO:0098926)	56	24	13.93	+	1.72	3.04E-03	3.18E-02
negative regulation of muscle cell differentiation (GO:0051148)	63	27	15.68	+	1.72	1.88E-03	2.16E-02
response to acetylcholine (GO:1905144)	56	24	13.93	+	1.72	3.04E-03	3.17E-02
regulation of hemostasis (GO:1900046)	70	30	17.42	+	1.72	1.21E-03	1.50E-02
inorganic anion transport (GO:0015698)	154	66	38.32	+	1.72	1.24E-06	3.93E-05
muscle system process (GO:0003012)	339	145	84.35	+	1.72	3.84E-13	3.34E-11
neuropeptide signaling pathway (GO:0007218)	117	50	29.11	+	1.72	2.27E-05	5.23E-04
regulation of nuclear division (GO:0051783)	157	67	39.07	+	1.72	1.02E-06	3.30E-05
forebrain neuron differentiation (GO:0021879)	75	32	18.66	+	1.71	7.19E-04	1.01E-02
sulfur compound transport (GO:0072348)	68	29	16.92	+	1.71	1.69E-03	1.99E-02
tissue regeneration (GO:0042246)	68	29	16.92	+	1.71	1.69E-03	1.99E-02
regulation of blood coagulation (GO:0030193)	68	29	16.92	+	1.71	1.69E-03	1.98E-02
macrophage activation (GO:0042116)	68	29	16.92	+	1.71	1.69E-03	1.98E-02
membrane depolarization (GO:0051899)	61	26	15.18	+	1.71	2.61E-03	2.83E-02
positive regulation of biomineral tissue development (GO:0070169)	54	23	13.44	+	1.71	4.20E-03	3.99E-02
L-amino acid catabolic process (GO:0170035)	87	37	21.65	+	1.71	4.10E-04	6.21E-03
inner ear morphogenesis (GO:0042472)	113	48	28.12	+	1.71	4.25E-05	8.91E-04
neuron migration (GO:0001764)	146	62	36.33	+	1.71	3.03E-06	8.76E-05
cellular component maintenance (GO:0043954)	73	31	18.16	+	1.71	9.89E-04	1.29E-02
collagen fibril organization (GO:0030199)	73	31	18.16	+	1.71	9.89E-04	1.29E-02
regulation of monoatomic ion transport (GO:0043269)	406	172	101.03	+	1.70	7.91E-15	8.39E-13
regulation of metal ion transport (GO:0010959)	347	147	86.35	+	1.70	7.02E-13	5.86E-11
stem cell development (GO:0048864)	85	36	21.15	+	1.70	3.84E-04	5.89E-03
neuron projection development (GO:0031175)	721	305	179.41	+	1.70	2.10E-25	4.85E-23
cell junction assembly (GO:0034329)	291	123	72.41	+	1.70	7.23E-11	4.89E-09
learning or memory (GO:0007611)	284	120	70.67	+	1.70	1.14E-10	7.49E-09
striated muscle contraction (GO:0006941)	173	73	43.05	+	1.70	5.49E-07	1.88E-05
glutamine family amino acid metabolic process (GO:0009064)	64	27	15.93	+	1.70	2.21E-03	2.46E-02
regulation of smoothened signaling pathway (GO:0008589)	95	40	23.64	+	1.69	2.92E-04	4.75E-03
regulation of dendritic spine development (GO:0060998)	57	24	14.18	+	1.69	5.07E-03	4.60E-02
export from cell (GO:0140352)	511	215	127.15	+	1.69	6.94E-18	9.25E-16
positive regulation of neuron differentiation (GO:0045666)	88	37	21.90	+	1.69	4.50E-04	6.74E-03
regulation of organic acid transport (GO:0032890)	69	29	17.17	+	1.69	1.88E-03	2.16E-02
external encapsulating structure organization (GO:0045229)	293	123	72.91	+	1.69	1.34E-10	8.75E-09
glomerulus development (GO:0032835)	62	26	15.43	+	1.69	3.03E-03	3.18E-02
glycosaminoglycan metabolic process (GO:0030203)	62	26	15.43	+	1.69	3.03E-03	3.18E-02
extracellular matrix organization (GO:0030198)	291	122	72.41	+	1.68	1.83E-10	1.17E-08
positive regulation of transmembrane transport (GO:0034764)	179	75	44.54	+	1.68	5.43E-07	1.87E-05
cilium movement (GO:0003341)	277	116	68.93	+	1.68	4.45E-10	2.64E-08
muscle cell differentiation (GO:0042692)	289	121	71.91	+	1.68	2.51E-10	1.53E-08
behavior (GO:0007610)	658	275	163.73	+	1.68	4.37E-22	7.84E-20
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	134	56	33.34	+	1.68	1.95E-05	4.61E-04
extracellular structure organization (GO:0043062)	292	122	72.66	+	1.68	2.03E-10	1.27E-08
response to vitamin (GO:0033273)	79	33	19.66	+	1.68	9.81E-04	1.29E-02
cellular response to calcium ion (GO:0071277)	79	33	19.66	+	1.68	9.81E-04	1.29E-02
regulation of monoatomic ion transmembrane transport (GO:0034765)	278	116	69.18	+	1.68	7.11E-10	4.13E-08
regulation of peptide hormone secretion (GO:0090276)	199	83	49.52	+	1.68	2.20E-07	8.31E-06
lipid translocation (GO:0034204)	60	25	14.93	+	1.67	4.17E-03	3.96E-02
endocrine process (GO:0050886)	60	25	14.93	+	1.67	4.17E-03	3.96E-02
biogenic amine metabolic process (GO:0006576)	72	30	17.92	+	1.67	2.32E-03	2.57E-02
neural crest cell differentiation (GO:0014033)	96	40	23.89	+	1.67	3.23E-04	5.19E-03
energy homeostasis (GO:0097009)	96	40	23.89	+	1.67	3.23E-04	5.18E-03
forebrain generation of neurons (GO:0021872)	84	35	20.90	+	1.67	8.55E-04	1.17E-02
regulation of neuron projection development (GO:0010975)	435	181	108.24	+	1.67	1.12E-14	1.18E-12
circulatory system process (GO:0003013)	520	216	129.39	+	1.67	3.39E-17	4.40E-15
regulation of interleukin-10 production (GO:0032653)	65	27	16.17	+	1.67	3.58E-03	3.64E-02
renal system process (GO:0003014)	147	61	36.58	+	1.67	8.73E-06	2.23E-04
positive regulation of developmental growth (GO:0048639)	164	68	40.81	+	1.67	2.90E-06	8.42E-05
positive regulation of cell cycle phase transition (GO:1901989)	111	46	27.62	+	1.67	1.48E-04	2.65E-03
positive regulation of osteoblast differentiation (GO:0045669)	70	29	17.42	+	1.66	2.18E-03	2.45E-02
regulation of extent of cell growth (GO:0061387)	99	41	24.63	+	1.66	3.95E-04	6.04E-03
associative learning (GO:0008306)	99	41	24.63	+	1.66	3.95E-04	6.04E-03
embryonic limb morphogenesis (GO:0030326)	128	53	31.85	+	1.66	5.02E-05	1.03E-03
embryonic appendage morphogenesis (GO:0035113)	128	53	31.85	+	1.66	5.02E-05	1.02E-03
monoatomic cation transmembrane transport (GO:0098655)	708	293	176.17	+	1.66	1.41E-22	2.64E-20
regulation of peptide secretion (GO:0002791)	203	84	50.51	+	1.66	2.93E-07	1.09E-05
organic acid transport (GO:0015849)	300	124	74.65	+	1.66	3.55E-10	2.13E-08
carboxylic acid transport (GO:0046942)	300	124	74.65	+	1.66	3.55E-10	2.12E-08
skin epidermis development (GO:0098773)	121	50	30.11	+	1.66	7.70E-05	1.50E-03
organic hydroxy compound transport (GO:0015850)	167	69	41.56	+	1.66	3.39E-06	9.71E-05
ventricular cardiac muscle tissue development (GO:0003229)	63	26	15.68	+	1.66	4.95E-03	4.51E-02
cell morphogenesis (GO:0000902)	715	295	177.92	+	1.66	1.50E-22	2.77E-20
chondrocyte differentiation (GO:0002062)	80	33	19.91	+	1.66	1.62E-03	1.92E-02
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	80	33	19.91	+	1.66	1.62E-03	1.92E-02
regulation of wound healing (GO:0061041)	131	54	32.60	+	1.66	4.05E-05	8.61E-04
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	165	68	41.06	+	1.66	4.62E-06	1.29E-04
regulation of epidermis development (GO:0045682)	68	28	16.92	+	1.65	2.97E-03	3.14E-02
negative regulation of nervous system development (GO:0051961)	136	56	33.84	+	1.65	3.55E-05	7.66E-04
proteinogenic amino acid catabolic process (GO:0170040)	85	35	21.15	+	1.65	9.57E-04	1.27E-02
blood circulation (GO:0008015)	430	177	107.00	+	1.65	7.50E-14	7.12E-12
branching morphogenesis of an epithelial tube (GO:0048754)	141	58	35.09	+	1.65	2.14E-05	4.98E-04
response to organophosphorus (GO:0046683)	124	51	30.86	+	1.65	6.47E-05	1.28E-03
regulation of blood pressure (GO:0008217)	197	81	49.02	+	1.65	5.03E-07	1.74E-05
morphogenesis of a branching structure (GO:0001763)	180	74	44.79	+	1.65	1.51E-06	4.72E-05
cardiac septum morphogenesis (GO:0060411)	73	30	18.16	+	1.65	2.52E-03	2.76E-02
negative regulation of neuron projection development (GO:0010977)	129	53	32.10	+	1.65	5.49E-05	1.11E-03
regulation of nervous system development (GO:0051960)	436	179	108.49	+	1.65	7.21E-14	6.90E-12
cardiac chamber development (GO:0003205)	173	71	43.05	+	1.65	3.28E-06	9.41E-05
response to calcium ion (GO:0051592)	139	57	34.59	+	1.65	2.89E-05	6.45E-04
regulation of peptide transport (GO:0090087)	205	84	51.01	+	1.65	3.62E-07	1.30E-05
positive regulation of lipid transport (GO:0032370)	83	34	20.65	+	1.65	1.30E-03	1.61E-02
regulation of striated muscle cell differentiation (GO:0051153)	83	34	20.65	+	1.65	1.30E-03	1.60E-02
regulation of axon extension (GO:0030516)	83	34	20.65	+	1.65	1.30E-03	1.60E-02
calcium-mediated signaling (GO:0019722)	166	68	41.31	+	1.65	5.12E-06	1.41E-04
calcium ion homeostasis (GO:0055074)	232	95	57.73	+	1.65	6.47E-08	2.70E-06
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	66	27	16.42	+	1.64	4.05E-03	3.92E-02
myeloid leukocyte activation (GO:0002274)	164	67	40.81	+	1.64	6.91E-06	1.82E-04
regulation of sequestering of calcium ion (GO:0051282)	130	53	32.35	+	1.64	6.23E-05	1.24E-03
monoatomic cation transport (GO:0006812)	834	340	207.53	+	1.64	9.61E-25	2.05E-22
neuron development (GO:0048666)	906	369	225.44	+	1.64	9.49E-27	2.46E-24
regulation of calcium ion transport (GO:0051924)	226	92	56.24	+	1.64	1.57E-07	6.05E-06
amide transport (GO:0042886)	145	59	36.08	+	1.64	2.78E-05	6.23E-04
secretion (GO:0046903)	554	225	137.85	+	1.63	2.01E-16	2.45E-14
skeletal system morphogenesis (GO:0048705)	234	95	58.23	+	1.63	1.12E-07	4.47E-06
bone morphogenesis (GO:0060349)	101	41	25.13	+	1.63	4.83E-04	7.14E-03
secretion by cell (GO:0032940)	435	176	108.24	+	1.63	5.85E-13	4.97E-11
vascular process in circulatory system (GO:0003018)	277	112	68.93	+	1.62	1.01E-08	5.05E-07
protein localization to cell junction (GO:1902414)	94	38	23.39	+	1.62	1.08E-03	1.39E-02
ear development (GO:0043583)	235	95	58.48	+	1.62	1.76E-07	6.74E-06
positive regulation of lipid localization (GO:1905954)	99	40	24.63	+	1.62	6.51E-04	9.38E-03
regulation of glial cell differentiation (GO:0045685)	72	29	17.92	+	1.62	3.87E-03	3.81E-02
